Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Fra:1 Mem:52.06M (Peak 52.32M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Foundation
Fra:1 Mem:40.75M (Peak 67.73M) | Time:00:00.31 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:40.75M (Peak 67.73M) | Time:00:00.31 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:40.75M (Peak 67.73M) | Time:00:00.31 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:42.11M (Peak 67.73M) | Time:00:00.31 | Mem:0.12M, Peak:0.12M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:42.07M (Peak 67.73M) | Time:00:00.31 | Mem:1.42M, Peak:1.42M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:42.08M (Peak 67.73M) | Time:00:00.31 | Mem:1.42M, Peak:1.42M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:46.04M (Peak 67.73M) | Time:00:00.33 | Mem:1.42M, Peak:1.42M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:46.31M (Peak 67.73M) | Time:00:00.33 | Mem:1.42M, Peak:1.42M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:46.68M (Peak 67.73M) | Time:00:00.34 | Mem:1.42M, Peak:1.42M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:46.68M (Peak 67.73M) | Time:00:00.34 | Mem:3.72M, Peak:3.72M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:50.33M (Peak 67.73M) | Time:00:00.35 | Mem:3.72M, Peak:3.72M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:50.33M (Peak 67.73M) | Time:00:00.35 | Mem:7.37M, Peak:7.37M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:50.33M (Peak 67.73M) | Time:00:00.35 | Mem:7.37M, Peak:7.37M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:50.33M (Peak 67.73M) | Time:00:00.35 | Mem:7.37M, Peak:7.37M | Scene, ViewLayer | Updating Images
Fra:1 Mem:50.33M (Peak 67.73M) | Time:00:00.35 | Mem:7.37M, Peak:7.37M | Scene, ViewLayer | Updating Images | Loading harbor-limestone.png
Fra:1 Mem:51.33M (Peak 67.73M) | Time:00:00.35 | Mem:7.37M, Peak:7.37M | Scene, ViewLayer | Updating Images | Loading tidal-brass.png
Fra:1 Mem:52.34M (Peak 67.73M) | Time:00:00.36 | Mem:9.37M, Peak:9.37M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:52.34M (Peak 67.73M) | Time:00:00.36 | Mem:9.37M, Peak:9.37M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:52.34M (Peak 67.73M) | Time:00:00.36 | Mem:9.45M, Peak:9.45M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:52.34M (Peak 67.73M) | Time:00:00.36 | Mem:9.45M, Peak:9.45M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:52.54M (Peak 67.73M) | Time:00:00.36 | Mem:9.65M, Peak:9.65M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:52.54M (Peak 67.73M) | Time:00:00.36 | Mem:9.65M, Peak:9.65M | Scene, ViewLayer | Updating Film
Fra:1 Mem:52.54M (Peak 67.73M) | Time:00:00.36 | Mem:9.57M, Peak:9.65M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:52.54M (Peak 67.73M) | Time:00:00.36 | Mem:9.65M, Peak:9.65M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:52.54M (Peak 67.73M) | Time:00:00.36 | Mem:9.65M, Peak:9.65M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:52.55M (Peak 67.73M) | Time:00:00.36 | Mem:9.65M, Peak:9.65M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:60.24M (Peak 67.73M) | Time:00:00.38 | Mem:686.15M, Peak:686.15M | Scene, ViewLayer | Sample 0/48
Fra:1 Mem:199.40M (Peak 199.40M) | Time:00:00.43 | Remaining:00:02.00 | Mem:825.33M, Peak:825.33M | Scene, ViewLayer | Sample 1/48
Fra:1 Mem:258.00M (Peak 345.90M) | Time:00:06.83 | Mem:825.33M, Peak:825.33M | Scene, ViewLayer | Sample 48/48
Fra:1 Mem:258.00M (Peak 345.90M) | Time:00:06.83 | Mem:825.33M, Peak:825.33M | Scene, ViewLayer | Finished
Saved: 'C:\Users\Hermes\Projects\Operator Special Forces Dungeon and Dragons\campaigns\the-unwritten-coast\discovery-atlas\art\architecture\r01-cutaway.png'
Time: 00:07.18 (Saving: 00:00.27)

Fra:1 Mem:46.05M (Peak 46.05M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Foundation
Fra:1 Mem:46.05M (Peak 46.05M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag
Fra:1 Mem:46.06M (Peak 46.06M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.001
Fra:1 Mem:46.16M (Peak 46.16M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.002
Fra:1 Mem:46.17M (Peak 46.17M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.003
Fra:1 Mem:46.16M (Peak 46.17M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.004
Fra:1 Mem:46.19M (Peak 46.19M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.005
Fra:1 Mem:46.26M (Peak 46.26M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.006
Fra:1 Mem:46.26M (Peak 46.26M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.007
Fra:1 Mem:46.30M (Peak 46.30M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.008
Fra:1 Mem:46.30M (Peak 46.30M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.009
Fra:1 Mem:46.36M (Peak 46.36M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.010
Fra:1 Mem:46.35M (Peak 46.36M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.011
Fra:1 Mem:46.40M (Peak 46.40M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.012
Fra:1 Mem:46.40M (Peak 46.40M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.013
Fra:1 Mem:46.45M (Peak 46.45M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.014
Fra:1 Mem:46.45M (Peak 46.45M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.015
Fra:1 Mem:46.50M (Peak 46.50M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.016
Fra:1 Mem:46.54M (Peak 46.54M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.017
Fra:1 Mem:46.54M (Peak 46.54M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.018
Fra:1 Mem:46.55M (Peak 46.55M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.019
Fra:1 Mem:46.61M (Peak 46.61M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.020
Fra:1 Mem:46.64M (Peak 46.64M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.021
Fra:1 Mem:46.67M (Peak 46.67M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.022
Fra:1 Mem:46.66M (Peak 46.67M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.023
Fra:1 Mem:46.72M (Peak 46.72M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.024
Fra:1 Mem:46.73M (Peak 46.73M) | Time:00:00.13 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.025
Fra:1 Mem:46.73M (Peak 46.73M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.030
Fra:1 Mem:46.91M (Peak 46.91M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.031
Fra:1 Mem:46.94M (Peak 46.94M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.032
Fra:1 Mem:46.94M (Peak 46.94M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.033
Fra:1 Mem:46.98M (Peak 46.98M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.034
Fra:1 Mem:47.02M (Peak 47.02M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.035
Fra:1 Mem:47.03M (Peak 47.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.036
Fra:1 Mem:47.03M (Peak 47.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.037
Fra:1 Mem:47.07M (Peak 47.07M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.038
Fra:1 Mem:47.14M (Peak 47.14M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.039
Fra:1 Mem:47.09M (Peak 47.14M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.040
Fra:1 Mem:47.16M (Peak 47.16M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.041
Fra:1 Mem:47.14M (Peak 47.16M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.042
Fra:1 Mem:47.22M (Peak 47.22M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.043
Fra:1 Mem:47.19M (Peak 47.22M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.044
Fra:1 Mem:47.25M (Peak 47.25M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.045
Fra:1 Mem:47.27M (Peak 47.27M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.046
Fra:1 Mem:47.30M (Peak 47.30M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.047
Fra:1 Mem:47.32M (Peak 47.32M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.048
Fra:1 Mem:47.34M (Peak 47.34M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.049
Fra:1 Mem:47.38M (Peak 47.38M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.050
Fra:1 Mem:47.42M (Peak 47.42M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.051
Fra:1 Mem:47.40M (Peak 47.42M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.052
Fra:1 Mem:47.45M (Peak 47.45M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.053
Fra:1 Mem:47.48M (Peak 47.48M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.054
Fra:1 Mem:47.50M (Peak 47.50M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.055
Fra:1 Mem:47.52M (Peak 47.52M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.056
Fra:1 Mem:47.55M (Peak 47.55M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.057
Fra:1 Mem:47.58M (Peak 47.58M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.058
Fra:1 Mem:47.59M (Peak 47.59M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.059
Fra:1 Mem:47.63M (Peak 47.63M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.060
Fra:1 Mem:47.65M (Peak 47.65M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.061
Fra:1 Mem:47.66M (Peak 47.66M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.062
Fra:1 Mem:47.69M (Peak 47.69M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.063
Fra:1 Mem:47.75M (Peak 47.75M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.064
Fra:1 Mem:47.75M (Peak 47.75M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.065
Fra:1 Mem:47.77M (Peak 47.77M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.066
Fra:1 Mem:47.81M (Peak 47.81M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.067
Fra:1 Mem:47.84M (Peak 47.84M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.068
Fra:1 Mem:47.88M (Peak 47.88M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.069
Fra:1 Mem:47.89M (Peak 47.89M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.070
Fra:1 Mem:47.91M (Peak 47.91M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.071
Fra:1 Mem:47.95M (Peak 47.95M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.072
Fra:1 Mem:47.97M (Peak 47.97M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.073
Fra:1 Mem:47.97M (Peak 47.97M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.074
Fra:1 Mem:48.03M (Peak 48.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.075
Fra:1 Mem:48.04M (Peak 48.04M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.076
Fra:1 Mem:48.08M (Peak 48.08M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Soft ceiling bounce
Fra:1 Mem:48.06M (Peak 48.08M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.078
Fra:1 Mem:48.09M (Peak 48.09M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Cool coastal fill
Fra:1 Mem:48.09M (Peak 48.09M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.080
Fra:1 Mem:48.13M (Peak 48.13M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Warm maintenance lamp.001
Fra:1 Mem:48.18M (Peak 48.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Warm maintenance lamp
Fra:1 Mem:48.18M (Peak 48.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.014
Fra:1 Mem:48.17M (Peak 48.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.013
Fra:1 Mem:48.18M (Peak 48.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.012
Fra:1 Mem:48.17M (Peak 48.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.081
Fra:1 Mem:48.20M (Peak 48.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.011
Fra:1 Mem:48.18M (Peak 48.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.082
Fra:1 Mem:48.21M (Peak 48.21M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.083
Fra:1 Mem:48.23M (Peak 48.23M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.084
Fra:1 Mem:48.21M (Peak 48.23M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.009
Fra:1 Mem:48.28M (Peak 48.28M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.008
Fra:1 Mem:48.28M (Peak 48.28M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.085
Fra:1 Mem:48.29M (Peak 48.29M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.007
Fra:1 Mem:48.30M (Peak 48.30M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.086
Fra:1 Mem:48.31M (Peak 48.31M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.006
Fra:1 Mem:48.32M (Peak 48.32M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.087
Fra:1 Mem:48.32M (Peak 48.32M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.005
Fra:1 Mem:48.37M (Peak 48.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.089
Fra:1 Mem:48.39M (Peak 48.39M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.090
Fra:1 Mem:48.41M (Peak 48.42M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.003
Fra:1 Mem:48.44M (Peak 48.44M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.002
Fra:1 Mem:48.43M (Peak 48.44M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.091
Fra:1 Mem:48.45M (Peak 48.45M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.093
Fra:1 Mem:48.46M (Peak 48.46M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch.001
Fra:1 Mem:48.49M (Peak 48.49M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.094
Fra:1 Mem:48.51M (Peak 48.51M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Individual limestone flag.095
Fra:1 Mem:48.51M (Peak 48.51M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Woven mat stitch
Fra:1 Mem:48.51M (Peak 48.51M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella hooked handle.003
Fra:1 Mem:48.54M (Peak 48.54M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar
Fra:1 Mem:48.59M (Peak 48.59M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella hooked handle.002
Fra:1 Mem:48.58M (Peak 48.59M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.001
Fra:1 Mem:48.63M (Peak 48.63M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella hooked handle.001
Fra:1 Mem:48.65M (Peak 48.65M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.002
Fra:1 Mem:48.63M (Peak 48.65M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella hooked handle
Fra:1 Mem:48.65M (Peak 48.65M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.003
Fra:1 Mem:48.68M (Peak 48.68M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Speaking tube rising conduit
Fra:1 Mem:48.66M (Peak 48.68M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.004
Fra:1 Mem:48.68M (Peak 48.68M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.005
Fra:1 Mem:48.68M (Peak 48.68M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.006
Fra:1 Mem:48.72M (Peak 48.72M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wheel spoke.002
Fra:1 Mem:48.76M (Peak 48.76M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.007
Fra:1 Mem:48.75M (Peak 48.76M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wheel spoke.001
Fra:1 Mem:48.75M (Peak 48.76M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.008
Fra:1 Mem:48.79M (Peak 48.79M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wheel spoke
Fra:1 Mem:48.82M (Peak 48.82M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Chair seat dent
Fra:1 Mem:48.82M (Peak 48.82M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar
Fra:1 Mem:48.80M (Peak 48.82M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Chair-shaped dent
Fra:1 Mem:48.86M (Peak 48.86M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.001
Fra:1 Mem:48.84M (Peak 48.86M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.005
Fra:1 Mem:48.83M (Peak 48.86M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.002
Fra:1 Mem:48.90M (Peak 48.90M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.004
Fra:1 Mem:48.89M (Peak 48.90M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.003
Fra:1 Mem:48.89M (Peak 48.90M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.003
Fra:1 Mem:48.94M (Peak 48.94M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.002
Fra:1 Mem:48.91M (Peak 48.94M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint.001
Fra:1 Mem:48.91M (Peak 48.94M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fine worn joint
Fra:1 Mem:48.91M (Peak 48.94M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.009
Fra:1 Mem:48.91M (Peak 48.94M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.010
Fra:1 Mem:48.94M (Peak 48.94M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.011
